id,name,age,gender,location,interests,looking_for_gender,min_age,max_age,trait_extraversion,trait_agreeableness,trait_conscientiousness,trait_neuroticism,trait_openness
1,Andrea1,22,male,Malaga,football|travel|gardening,any,20,29,0.718,0.582,0.613,0.222,0.266
2,Javier2,39,male,Barcelona,dancing|reading|coding,female,36,44,0.612,0.767,0.205,0.764,0.689
3,Laura3,26,female,Barcelona,photography|yoga|music,any,24,30,0.793,0.623,0.765,0.711,0.575
4,Iván4,24,female,Bilbao,football|gardening|reading,male,20,30,0.335,0.249,0.663,0.741,0.89
5,Alvaro5,25,male,Seville,football|tech|reading,female,22,29,0.449,0.669,0.691,0.678,0.25
6,Andrea6,39,male,Malaga,travel|cooking|tech,female,33,42,0.679,0.79,0.743,0.36,0.222
7,Laura7,30,female,Madrid,travel|hiking|dancing,male,25,35,0.819,0.65,0.3,0.298,0.721
8,Raul8,45,female,Bilbao,art|hiking|coding,male,42,51,0.545,0.729,0.803,0.307,0.312
9,Ramon9,41,female,Madrid,art|coding|hiking,male,35,45,0.88,0.803,0.208,0.705,0.677
10,Raul10,42,female,Valencia,music|football|art,male,40,49,0.813,0.384,0.55,0.325,0.839
11,Alvaro11,42,female,Bilbao,hiking|travel|cooking,male,39,48,0.867,0.846,0.843,0.619,0.542
12,Diego12,31,female,Barcelona,cinema|travel|hiking,male,29,38,0.54,0.248,0.732,0.736,0.29
13,Fernando13,30,male,Bilbao,gardening|hiking|art,female,24,38,0.711,0.341,0.418,0.897,0.655
14,Isabel14,25,female,Barcelona,travel|music|yoga,any,19,28,0.612,0.205,0.695,0.241,0.247
15,Carlos15,24,female,Bilbao,travel|football|reading,male,18,27,0.706,0.818,0.603,0.37,0.531
16,Alberto16,25,male,Madrid,reading|art|yoga,female,20,33,0.71,0.671,0.889,0.269,0.482
17,Laura17,29,male,Barcelona,travel|gaming|tech,any,26,33,0.524,0.812,0.253,0.766,0.799
18,Diego18,42,male,Bilbao,gardening|cinema|music,female,39,45,0.484,0.537,0.805,0.832,0.315
19,Ana19,30,female,Seville,football|art|dancing,male,24,37,0.703,0.308,0.408,0.878,0.605
20,Raul20,45,male,Valencia,cinema|coding|hiking,female,39,48,0.24,0.555,0.796,0.248,0.248
21,Alvaro21,34,male,Madrid,coding|hiking|travel,female,32,40,0.257,0.66,0.596,0.421,0.383
22,Ramon22,29,female,Valencia,art|cooking|reading,male,24,33,0.85,0.855,0.207,0.635,0.594
23,Diego23,39,male,Barcelona,gaming|football|cooking,female,37,42,0.459,0.31,0.784,0.692,0.628
24,Victor24,43,male,Bilbao,football|reading|music,female,40,47,0.281,0.275,0.587,0.391,0.623
25,Silvia25,28,female,Malaga,reading|gardening|football,male,24,36,0.236,0.644,0.781,0.231,0.433
26,Mariana26,27,female,Malaga,tech|gaming|dancing,male,25,29,0.253,0.818,0.833,0.582,0.784
27,Marta27,35,male,Barcelona,cinema|football|yoga,female,33,39,0.347,0.375,0.272,0.746,0.819
28,Alberto28,29,male,Barcelona,photography|coding|cooking,female,27,32,0.716,0.433,0.852,0.762,0.805
29,Victor29,30,male,Barcelona,photography|dancing|music,female,28,38,0.529,0.34,0.843,0.445,0.774
30,Alvaro30,29,male,Madrid,reading|travel|art,female,27,37,0.395,0.649,0.48,0.887,0.575
31,Ana31,30,male,Barcelona,hiking|football|cinema,any,25,34,0.71,0.42,0.624,0.558,0.47
32,Marta32,30,male,Madrid,dancing|art|cinema,female,24,37,0.704,0.719,0.669,0.455,0.249
33,Ramon33,41,female,Valencia,reading|gardening|music,male,37,47,0.416,0.486,0.482,0.407,0.289
34,Alberto34,43,female,Malaga,coding|cooking|hiking,male,38,49,0.784,0.413,0.347,0.75,0.625
35,Laura35,36,female,Seville,reading|travel|gaming,male,33,43,0.259,0.561,0.643,0.435,0.773
36,Rocio36,43,male,Valencia,travel|photography|coding,any,41,46,0.889,0.628,0.738,0.519,0.82
37,Marta37,44,male,Malaga,art|tech|coding,female,42,52,0.802,0.82,0.745,0.353,0.763
38,Silvia38,23,female,Bilbao,travel|gardening|music,male,18,30,0.572,0.591,0.422,0.729,0.51
39,Nuria39,39,female,Seville,coding|cooking|dancing,male,34,43,0.726,0.788,0.394,0.744,0.539
40,Javier40,36,female,Madrid,dancing|football|travel,male,32,42,0.256,0.306,0.468,0.307,0.35
41,Alberto41,32,female,Bilbao,tech|art|cinema,male,27,37,0.833,0.609,0.687,0.8,0.736
42,Clara42,22,female,Valencia,football|photography|art,male,18,28,0.723,0.582,0.622,0.354,0.354
43,Alberto43,22,female,Seville,yoga|reading|gardening,male,19,30,0.527,0.289,0.636,0.219,0.476
44,Marta44,24,male,Malaga,art|cooking|tech,female,20,29,0.429,0.518,0.436,0.816,0.395
45,Nuria45,30,female,Madrid,tech|cinema|dancing,male,26,33,0.655,0.747,0.656,0.728,0.865
46,Sofia46,41,male,Barcelona,travel|cooking|tech,female,35,44,0.526,0.379,0.458,0.624,0.875
47,Silvia47,27,male,Valencia,music|hiking|cinema,female,21,34,0.836,0.463,0.859,0.339,0.614
48,Nuria48,25,male,Malaga,photography|football|reading,female,23,33,0.889,0.748,0.443,0.5,0.459
49,Carmen49,22,female,Seville,gardening|tech|music,male,18,29,0.824,0.522,0.307,0.323,0.565
50,Andrea50,41,female,Bilbao,photography|tech|gardening,male,35,45,0.426,0.372,0.854,0.395,0.516
51,Rocio51,40,female,Bilbao,reading|art|yoga,any,36,43,0.541,0.448,0.381,0.396,0.617
52,Teresa52,39,female,Madrid,gaming|travel|music,male,34,44,0.589,0.368,0.533,0.698,0.514
53,Ana53,31,male,Barcelona,art|dancing|travel,female,25,35,0.531,0.572,0.498,0.722,0.432
54,Silvia54,30,female,Valencia,football|travel|music,male,26,32,0.72,0.866,0.683,0.334,0.717
55,Elena55,25,female,Barcelona,football|travel|yoga,male,23,32,0.574,0.392,0.882,0.587,0.688
56,Mariana56,25,female,Madrid,hiking|football|tech,male,21,28,0.876,0.377,0.803,0.28,0.246
57,Fernando57,40,male,Malaga,reading|cinema|cooking,any,34,44,0.26,0.374,0.591,0.491,0.617
58,Sergio58,38,male,Seville,tech|coding|football,female,33,42,0.598,0.242,0.872,0.269,0.734
59,Andrea59,30,male,Malaga,music|cooking|travel,female,28,33,0.202,0.515,0.616,0.404,0.362
60,Silvia60,44,female,Seville,music|reading|travel,male,38,51,0.763,0.338,0.28,0.357,0.304
61,Elena61,24,male,Madrid,cooking|photography|football,female,18,28,0.507,0.528,0.413,0.482,0.391
62,Raul62,36,female,Madrid,hiking|cinema|art,male,30,40,0.218,0.36,0.672,0.802,0.611
63,Ana63,40,female,Madrid,photography|coding|cooking,male,35,44,0.327,0.61,0.644,0.544,0.264
64,Pablo64,32,female,Valencia,reading|music|cooking,male,27,36,0.664,0.48,0.732,0.226,0.262
65,Elena65,25,female,Seville,gardening|gaming|cinema,male,19,30,0.489,0.331,0.453,0.73,0.638
66,Rocio66,28,male,Valencia,gaming|cooking|football,female,23,30,0.22,0.641,0.76,0.697,0.418
67,Ana67,24,female,Barcelona,gardening|music|tech,male,21,29,0.853,0.404,0.694,0.491,0.538
68,Fernando68,36,male,Bilbao,cooking|art|travel,female,30,43,0.816,0.805,0.393,0.753,0.49
69,Iván69,22,female,Valencia,dancing|football|hiking,male,18,30,0.304,0.577,0.442,0.586,0.58
70,Isabel70,28,female,Malaga,travel|hiking|art,male,23,30,0.423,0.531,0.839,0.467,0.892
71,Victor71,37,male,Madrid,cooking|gaming|hiking,female,35,45,0.792,0.27,0.837,0.211,0.301
72,Alvaro72,24,male,Seville,photography|football|yoga,female,19,31,0.256,0.43,0.672,0.574,0.868
73,Andrea73,39,female,Madrid,hiking|music|travel,male,35,42,0.723,0.504,0.269,0.644,0.811
74,Isabel74,44,male,Valencia,coding|cinema|gardening,female,42,48,0.451,0.501,0.371,0.488,0.677
75,Luis75,27,male,Madrid,hiking|gardening|art,female,24,32,0.839,0.3,0.523,0.378,0.379
76,Ana76,31,female,Malaga,gaming|cooking|music,male,27,37,0.409,0.873,0.683,0.52,0.411
77,Clara77,25,female,Barcelona,art|hiking|yoga,male,21,27,0.885,0.661,0.392,0.596,0.68
78,Diego78,41,male,Malaga,tech|gardening|football,female,38,47,0.761,0.353,0.333,0.375,0.729
79,Rocio79,42,male,Madrid,coding|reading|gardening,any,37,44,0.606,0.713,0.263,0.407,0.723
80,Luis80,26,male,Bilbao,coding|yoga|gaming,female,22,34,0.315,0.84,0.861,0.877,0.407
81,Alvaro81,25,female,Seville,music|cooking|photography,male,20,33,0.763,0.456,0.753,0.21,0.576
82,Isabel82,43,female,Malaga,reading|football|hiking,male,39,45,0.672,0.53,0.634,0.86,0.43
83,Sergio83,42,male,Madrid,reading|gardening|tech,female,38,49,0.486,0.298,0.862,0.413,0.545
84,Diego84,39,male,Barcelona,art|tech|yoga,female,33,44,0.611,0.709,0.82,0.658,0.784
85,Sergio85,30,female,Madrid,dancing|yoga|travel,male,27,38,0.454,0.887,0.457,0.831,0.651
86,Carlos86,30,female,Barcelona,music|gardening|tech,any,27,37,0.648,0.88,0.235,0.433,0.892
87,Victor87,24,male,Bilbao,travel|hiking|coding,female,21,28,0.742,0.752,0.617,0.394,0.889
88,Mariana88,27,female,Madrid,reading|gardening|cinema,any,23,35,0.752,0.612,0.211,0.386,0.289
89,Alberto89,45,male,Madrid,tech|coding|photography,female,39,47,0.516,0.355,0.631,0.709,0.836
90,Ramon90,36,female,Malaga,cinema|coding|tech,male,31,43,0.276,0.699,0.51,0.829,0.425
91,Mariana91,26,male,Valencia,hiking|reading|coding,female,22,31,0.896,0.571,0.518,0.624,0.269
92,Silvia92,42,male,Malaga,coding|photography|gaming,female,39,47,0.516,0.36,0.437,0.517,0.491
93,Diego93,35,female,Valencia,reading|football|yoga,male,30,37,0.264,0.26,0.502,0.721,0.461
94,Mariana94,40,male,Bilbao,gaming|yoga|reading,any,36,48,0.666,0.725,0.808,0.705,0.878
95,Sergio95,33,female,Madrid,hiking|gaming|travel,male,28,36,0.793,0.445,0.589,0.28,0.395
96,Javier96,39,female,Bilbao,hiking|reading|gardening,male,33,46,0.781,0.387,0.326,0.692,0.416
97,Laura97,22,female,Barcelona,gardening|cooking|hiking,male,20,25,0.719,0.88,0.264,0.571,0.463
98,Isabel98,27,female,Valencia,football|dancing|yoga,male,21,33,0.259,0.237,0.31,0.632,0.672
99,Elena99,43,female,Seville,tech|hiking|coding,male,40,51,0.559,0.442,0.278,0.675,0.615
100,Carmen100,23,female,Barcelona,art|hiking|cinema,any,19,26,0.737,0.735,0.403,0.284,0.548
101,Alberto101,26,male,Seville,gaming|dancing|travel,female,22,28,0.478,0.719,0.505,0.522,0.255
102,Laura102,40,female,Seville,dancing|reading|art,male,35,42,0.876,0.32,0.863,0.522,0.683
103,Pablo103,35,male,Madrid,travel|art|hiking,female,33,40,0.809,0.722,0.355,0.745,0.253
104,Andrea104,38,male,Bilbao,travel|photography|yoga,female,35,41,0.272,0.379,0.321,0.307,0.731
105,Lucia105,42,male,Seville,tech|photography|hiking,female,37,49,0.847,0.595,0.645,0.637,0.805
106,Andrea106,26,female,Seville,music|tech|gardening,male,22,32,0.239,0.555,0.417,0.516,0.24
107,Nuria107,24,female,Malaga,gardening|coding|music,male,18,29,0.524,0.588,0.754,0.827,0.515
108,Victor108,32,male,Bilbao,tech|gaming|cooking,female,27,34,0.768,0.786,0.888,0.259,0.652
109,Carlos109,44,male,Seville,tech|gaming|gardening,female,40,48,0.843,0.471,0.742,0.675,0.237
110,Andrea110,24,female,Valencia,music|gaming|reading,male,20,31,0.796,0.875,0.622,0.305,0.257
111,Ramon111,33,male,Valencia,reading|dancing|coding,female,27,40,0.857,0.417,0.464,0.754,0.769
112,Ramon112,42,male,Malaga,art|gaming|yoga,any,38,45,0.866,0.439,0.736,0.334,0.9
113,Mariana113,31,male,Madrid,gaming|photography|coding,female,25,33,0.663,0.813,0.633,0.618,0.308
114,Luis114,45,male,Seville,cinema|art|yoga,female,42,50,0.627,0.727,0.749,0.364,0.367
115,Victor115,28,female,Valencia,reading|hiking|tech,male,24,36,0.467,0.569,0.876,0.772,0.761
116,Mariana116,23,female,Malaga,tech|gardening|yoga,male,21,30,0.792,0.796,0.4,0.734,0.391
117,Teresa117,35,male,Madrid,coding|travel|tech,female,33,40,0.237,0.551,0.365,0.896,0.462
118,Ana118,25,female,Malaga,reading|yoga|photography,any,23,29,0.842,0.531,0.782,0.731,0.528
119,Sergio119,24,male,Madrid,football|travel|cooking,female,18,30,0.496,0.743,0.366,0.285,0.367
120,Andrea120,24,female,Madrid,gardening|tech|hiking,male,18,30,0.369,0.301,0.5,0.63,0.368
121,Alberto121,43,male,Malaga,music|gaming|yoga,any,37,49,0.555,0.892,0.588,0.473,0.529
122,Andrea122,33,female,Valencia,dancing|cinema|yoga,male,29,36,0.713,0.64,0.74,0.715,0.433
123,Carlos123,39,female,Valencia,gardening|reading|cooking,male,34,46,0.535,0.328,0.294,0.701,0.861
124,Carlos124,28,female,Madrid,photography|travel|cinema,male,24,34,0.479,0.771,0.531,0.226,0.653
125,Miguel125,23,female,Malaga,yoga|football|music,male,18,28,0.72,0.826,0.471,0.882,0.547
126,Fernando126,38,female,Valencia,photography|music|dancing,male,33,44,0.897,0.326,0.406,0.272,0.43
127,Miguel127,36,female,Bilbao,dancing|art|cooking,male,32,41,0.23,0.809,0.447,0.899,0.392
128,Victor128,24,male,Malaga,reading|art|yoga,female,21,26,0.3,0.625,0.747,0.224,0.247
129,Rocio129,33,female,Seville,hiking|cinema|coding,male,28,37,0.46,0.734,0.602,0.571,0.479
130,Andrea130,29,female,Madrid,cinema|dancing|cooking,male,24,35,0.282,0.742,0.693,0.35,0.628
131,Silvia131,28,female,Madrid,cooking|gardening|music,male,23,30,0.767,0.877,0.891,0.667,0.697
132,Raul132,31,female,Barcelona,dancing|coding|gardening,male,27,37,0.357,0.89,0.754,0.366,0.546
133,Pablo133,36,female,Bilbao,cooking|hiking|music,any,31,43,0.703,0.568,0.738,0.776,0.252
134,Laura134,36,male,Seville,reading|gaming|yoga,any,30,43,0.611,0.737,0.29,0.552,0.808
135,Nuria135,38,male,Barcelona,football|cooking|gardening,female,35,42,0.863,0.563,0.399,0.255,0.337
136,Raul136,26,female,Malaga,football|hiking|gaming,any,23,32,0.859,0.308,0.661,0.704,0.624
137,Nuria137,22,male,Madrid,cinema|reading|photography,female,19,30,0.6,0.633,0.221,0.822,0.582
138,Andrea138,37,female,Barcelona,photography|coding|reading,male,32,39,0.682,0.311,0.491,0.525,0.438
139,Mariana139,44,female,Valencia,dancing|gardening|yoga,male,41,52,0.459,0.593,0.423,0.527,0.387
140,Javier140,25,male,Madrid,football|art|hiking,female,22,33,0.429,0.604,0.419,0.734,0.549
141,Carmen141,37,female,Valencia,tech|cinema|music,male,31,42,0.877,0.351,0.447,0.235,0.546
142,Teresa142,31,female,Bilbao,cinema|gardening|music,male,27,38,0.456,0.482,0.232,0.236,0.593
143,Pablo143,24,female,Seville,gaming|tech|photography,male,18,31,0.628,0.29,0.268,0.461,0.891
144,Raul144,26,female,Barcelona,hiking|gaming|art,male,24,28,0.296,0.433,0.532,0.52,0.624
145,Carmen145,32,male,Bilbao,yoga|cooking|art,female,28,38,0.435,0.78,0.573,0.696,0.41
146,Nuria146,33,male,Valencia,reading|music|art,female,31,39,0.532,0.877,0.748,0.743,0.604
147,Diego147,40,male,Seville,cooking|gaming|reading,female,35,43,0.775,0.37,0.601,0.69,0.334
148,Isabel148,35,female,Barcelona,art|dancing|travel,male,29,40,0.811,0.715,0.244,0.297,0.345
149,Laura149,38,female,Seville,yoga|cooking|tech,male,34,44,0.448,0.74,0.705,0.65,0.685
150,Sergio150,28,female,Barcelona,football|gaming|coding,male,24,36,0.402,0.345,0.693,0.422,0.444
