id1,name1,id2,name2,score
53,Ana53,148,Isabel148,0.959283
94,Mariana94,134,Laura134,0.884594
59,Andrea59,76,Ana76,0.717402
127,Miguel127,145,Carmen145,0.715483
99,Elena99,105,Lucia105,0.714288
12,Diego12,31,Ana31,0.710059
48,Nuria48,118,Ana118,0.708833
3,Laura3,14,Isabel14,0.698804
32,Marta32,45,Nuria45,0.696588
2,Javier2,138,Andrea138,0.690509
95,Sergio95,103,Pablo103,0.690054
64,Pablo64,146,Nuria146,0.689890
112,Ramon112,121,Alberto121,0.688089
75,Luis75,120,Andrea120,0.686111
91,Mariana91,115,Victor115,0.681766
35,Laura35,147,Diego147,0.664939
56,Mariana56,140,Javier140,0.650363
50,Andrea50,83,Sergio83,0.623880
84,Diego84,149,Laura149,0.622896
15,Carlos15,119,Sergio119,0.620979
21,Alvaro21,129,Rocio129,0.620458
90,Ramon90,117,Teresa117,0.620068
6,Andrea6,11,Alvaro11,0.617241
16,Alberto16,43,Alberto43,0.615827
8,Raul8,20,Raul20,0.615066
42,Clara42,61,Elena61,0.614223
18,Diego18,33,Ramon33,0.613875
70,Isabel70,87,Victor87,0.610002
72,Alvaro72,98,Isabel98,0.609905
66,Rocio66,150,Sergio150,0.606680
27,Marta27,93,Diego93,0.603136
10,Raul10,24,Victor24,0.598579
57,Fernando57,123,Carlos123,0.597932
63,Ana63,92,Silvia92,0.597047
13,Fernando13,62,Raul62,0.596401
26,Mariana26,101,Alberto101,0.595352
22,Ramon22,30,Alvaro30,0.593484
5,Alvaro5,25,Silvia25,0.593074
79,Rocio79,96,Javier96,0.590073
47,Silvia47,142,Teresa142,0.589211
71,Victor71,133,Pablo133,0.585912
1,Andrea1,38,Silvia38,0.582762
111,Ramon111,132,Raul132,0.562958
77,Clara77,128,Victor128,0.555665
17,Laura17,86,Carlos86,0.549015
41,Alberto41,68,Fernando68,0.548166
74,Isabel74,139,Mariana139,0.546605
51,Rocio51,104,Andrea104,0.545176
44,Marta44,116,Mariana116,0.544292
113,Mariana113,124,Carlos124,0.530653
34,Alberto34,37,Marta37,0.524626
78,Diego78,82,Isabel82,0.519191
9,Ramon9,89,Alberto89,0.518789
39,Nuria39,58,Sergio58,0.489423
46,Sofia46,73,Andrea73,0.451294
23,Diego23,52,Teresa52,0.451018
80,Luis80,107,Nuria107,0.450878
28,Alberto28,131,Silvia131,0.447396
65,Elena65,137,Nuria137,0.443834
108,Victor108,130,Andrea130,0.443136
36,Rocio36,60,Silvia60,0.438909
29,Victor29,122,Andrea122,0.432817
100,Carmen100,136,Raul136,0.421777
40,Javier40,135,Nuria135,0.407712
4,Iván4,,,
7,Laura7,,,
19,Ana19,,,
49,Carmen49,,,
54,Silvia54,,,
55,Elena55,,,
67,Ana67,,,
69,Iván69,,,
81,Alvaro81,,,
85,Sergio85,,,
88,Mariana88,,,
97,Laura97,,,
102,Laura102,,,
106,Andrea106,,,
109,Carlos109,,,
110,Andrea110,,,
114,Luis114,,,
125,Miguel125,,,
126,Fernando126,,,
141,Carmen141,,,
143,Pablo143,,,
144,Raul144,,,
